name,domain,dataset_year,age,source,reference,reference_key,problem_type,num_rows,max_train_rows,num_cols,num_cols_after_preprocessing,missing_value_fraction,num_classes,minority_class_pct,num_numerical_cols,num_categorical_cols,num_datetime_cols,num_text_cols,num_binary_cols,num_numerical_non_binary_cols,num_categorical_non_binary_cols,num_datetime_non_binary_cols,num_text_non_binary_cols,max_categorical_cardinality,mean_categorical_cardinality,median_categorical_cardinality,num_high_cardinality_cats,categorical_non_binary_cardinalities,text_char_mean,text_char_median,text_char_max,text_char_num_high,num_repeats,num_folds,time_horizon,time_horizon_unit,task_type,time_on,group_on,stratify_on,group_time_on,group_labels,uri
airfoil_self_noise,physics & astronomy,2014,12,UCI,"@techreport{brooks1989airfoil,
  title={Airfoil self-noise and prediction},
  author={Brooks, Thomas F and Pope, D Stuart and Marcolini, Michael A},
  year={1989}
}
",brooks1989airfoil,regression,1503,1002,5,5,0.0,,,4,1,0,0,0,4,1,0,0,27.0,27.0,27.0,0,[27],,,,,10,3,,,random,,,,,,airfoil_self_noise/019d7366-4673-7d9a-9821-35604af616f6
amazon_employee_access,business & marketing,2010,16,Kaggle,"@misc{hamner2013amazon,
  author       = {Ben Hamner and kenmonta and Will Cukierski},
  title        = {Amazon.com - Employee Access Challenge},
  year         = {2013},
  howpublished = {\url{https://www.kaggle.com/competitions/amazon-employee-access-challenge}},
  note         = {Kaggle competition},
}
",hamner2013amazon,binary_classification,32769,21846,9,9,0.0,2.0,5.789007903811529,0,9,0,0,0,0,9,0,0,7518.0,1736.2222222222222,343.0,9,"[7518, 4243, 128, 177, 449, 343, 2358, 67, 343]",,,,,3,3,,,random,,,ResourceApproved,,,amazon_employee_access/019d7366-58b8-7e97-bf34-83c96a915561
aps_failure,industry & manufacturing,2016,10,UCI,"@misc{ida2016challenge,
  author       = {{IDA2016Challenge}},
  title        = {IDA2016Challenge [Dataset]},
  year         = {2016},
  howpublished = {\url{https://doi.org/10.24432/C5V60Q}},
  note         = {UCI Machine Learning Repository},
}
",ida2016challenge,binary_classification,76000,50667,170,170,0.08349032507739938,2.0,1.8092105263157894,170,0,0,0,1,169,0,0,0,,,,0,[],,,,,3,3,,,random,,,AirPressureSystemFailure,,,aps_failure/019d7366-7373-7942-9438-aa122a6ca492
bad_customer_detection,business & marketing,2020,6,Kaggle,"@misc{Podsyp2020IsThisAGoodCustomer,
  title={Is This a Good Customer?},
  author={Podsyp},
  year={2020},
  publisher={Kaggle},
  url={https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer}
}
",Podsyp2020IsThisAGoodCustomer,binary_classification,1723,1149,13,13,0.0,2.0,11.375507835171213,5,8,0,0,3,5,5,0,0,22.0,5.625,3.0,0,"[6, 22, 3, 3, 5]",,,,,10,3,,,random,,,bad_customer,,,bad_customer_detection/019d7366-8875-7ee1-8f3b-5ad96bdd2324
bank_customer_churn,business & marketing,2020,6,Kaggle,"@misc{Topre2022BankCustomerChurn,
  title={Bank Customer Churn Dataset},
  author={Gaurav Topre},
  year={2022},
  publisher={Kaggle},
  url={https://www.kaggle.com/datasets/gauravtopre/bank-customer-churn-dataset}
}
",Topre2022BankCustomerChurn,binary_classification,10000,6667,10,10,0.0,2.0,20.37,6,4,0,0,3,6,1,0,0,3.0,2.25,2.0,0,[3],,,,,3,3,,,random,,,churn,,,bank_customer_churn/019d7366-99cc-77cc-8d41-5c3ccc8eff96
bank_marketing,finance,2012,14,UCI,"@article{moro2014bank-marketing,
  title={A data-driven approach to predict the success of bank telemarketing},
  author={Moro, S{\'e}rgio and Cortez, Paulo and Rita, Paulo},
  journal={Decision Support Systems},
  volume={62},
  pages={22--31},
  year={2014},
  publisher={Elsevier}
}
",moro2014bank-marketing,binary_classification,45211,30141,13,13,0.0,2.0,11.698480458295547,3,10,0,0,3,3,7,0,0,48.0,12.1,3.5,0,"[12, 3, 4, 3, 48, 41, 4]",,,,,3,3,,,random,,,SubscribeTermDeposit,,,bank_marketing/019d7366-abe0-7dcc-a9fb-069bfb233c78
bioresponse,biology & life sciences,2012,14,Kaggle,"@misc{bioresponse2012hamner,
    author = {Ben Hamner and dcthompson and Jorg},
    title = {Predicting a Biological Response},
    year = {2012},
    howpublished = {https://kaggle.com/competitions/bioresponse},
    note = {Kaggle}
}
",bioresponse2012hamner,binary_classification,3751,2501,1776,1776,0.0,2.0,45.77446014396161,1776,0,0,0,835,941,0,0,0,,,,0,[],,,,,3,3,,,random,,,MoleculeElicitsResponse,,,bioresponse/019d7366-c770-7d3c-8dd9-b9cc456542d6
blood_transfusion,medical & healthcare,2008,18,UCI,"@article{yeh2009knowledge,
  title={Knowledge discovery on RFM model using Bernoulli sequence},
  author={Yeh, I-Cheng and Yang, King-Jang and Ting, Tao-Ming},
  journal={Expert Systems with applications},
  volume={36},
  number={3},
  pages={5866--5871},
  year={2009},
  publisher={Elsevier}
}
",yeh2009knowledge,binary_classification,748,499,4,4,0.0,2.0,23.796791443850267,4,0,0,0,0,4,0,0,0,,,,0,[],,,,,20,3,,,random,,,DonatedBloodInMarch2007,,,blood_transfusion/019d7366-d9d0-777d-b0ae-e7a5175f7f09
churn,technology & internet,2005,21,OpenML,"@misc{marcoulides2005churn,
  title={Discovering knowledge in data: An introduction to data mining},
  author={Marcoulides, George A},
  year={2005},
  publisher={Taylor \& Francis}
}
",marcoulides2005churn,binary_classification,5000,3334,19,19,0.0,2.0,14.14,15,4,0,0,2,15,2,0,0,51.0,14.5,2.5,1,"[51, 3]",,,,,3,3,,,random,,,CustomerChurned,,,churn/019d7366-eb2d-72f9-9998-72dfc5b6cc79
coil_2000,business & marketing,2000,26,UCI,"@techreport{van2000coil,
  title={CoIL challenge 2000: The insurance company case},
  author={Van Der Putten, Peter and van Someren, Maarten and others},
  year={2000},
  institution={Technical Report 2000--09, Leiden Institute of Advanced Computer Science}
}
",van2000coil,binary_classification,9822,6548,85,85,0.0,2.0,5.966198330278965,80,5,0,0,5,75,5,0,0,39.0,13.8,10.0,0,"[39, 6, 10, 10, 4]",,,,,3,3,,,random,,,MobileHomePolicy,,,coil_2000/019d7366-fdc2-7225-a22c-314c624711f6
